"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.284940019E1,6.505423334E1,2.546703427E1,8.553371990E0,1.450000048E0,2.728999939E2,3.790092468E0,2.500000000E0
4.384493300E1,6.505423445E1,2.546700346E1,8.492027962E0,1.429999948E0,2.735000000E2,3.790092468E0,2.500000000E0
4.484982754E1,6.505423449E1,2.546696882E1,8.379414404E0,1.470000029E0,2.742000122E2,3.790092468E0,2.500000000E0
4.584830181E1,6.505423526E1,2.546693612E1,8.277237785E0,1.409999967E0,2.751000061E2,3.790092468E0,2.500000000E0
4.684636009E1,6.505423345E1,2.546690293E1,8.492505948E0,1.440000057E0,2.642000122E2,3.790092468E0,2.500000000E0
4.784858092E1,6.505423059E1,2.546686682E1,8.537058870E0,1.529999971E0,2.630000000E2,3.790092468E0,2.500000000E0
4.884878139E1,6.505422981E1,2.546683246E1,8.708381203E0,1.440000057E0,2.688999939E2,3.790092468E0,2.500000000E0
4.984929529E1,6.505422692E1,2.546680162E1,8.354680302E0,1.440000057E0,2.530000000E2,3.790092468E0,2.500000000E0
5.084957769E1,6.505422618E1,2.546676764E1,8.044618382E0,1.470000029E0,2.657999878E2,3.790092468E0,2.500000000E0
5.184954769E1,6.505422593E1,2.546673755E1,7.642637743E0,1.440000057E0,2.640000000E2,3.790092468E0,2.500000000E0
5.284972894E1,6.505422682E1,2.546670467E1,7.679682251E0,1.460000038E0,2.698999939E2,3.790092468E0,2.500000000E0
5.384942144E1,6.505422750E1,2.546667172E1,7.803213648E0,1.440000057E0,2.708999939E2,3.790092468E0,2.500000000E0
5.484957248E1,6.505422953E1,2.546664064E1,7.418199805E0,1.450000048E0,2.741000061E2,3.790092468E0,2.500000000E0
5.585014050E1,6.505422804E1,2.546661145E1,7.401534677E0,1.500000000E0,2.598999939E2,3.790092468E0,2.500000000E0
5.684887362E1,6.505422919E1,2.546658528E1,7.542339563E0,1.379999995E0,2.725000000E2,3.790092468E0,2.500000000E0
5.784847664E1,6.505422830E1,2.546655572E1,7.575661960E0,1.460000038E0,2.652999878E2,3.790092468E0,2.500000000E0
5.884942279E1,6.505422614E1,2.546652794E1,8.039160812E0,1.450000048E0,2.600000000E2,3.790092468E0,2.500000000E0
5.984393753E1,6.505422577E1,2.546650028E1,8.317112118E0,1.379999995E0,2.673999939E2,3.790092468E0,2.500000000E0
6.084804862E1,6.505422761E1,2.546647151E1,8.649322714E0,1.360000014E0,2.721000061E2,3.790092468E0,2.500000000E0
6.184783820E1,6.505422757E1,2.546645118E1,8.896024672E0,1.039999962E0,2.640000000E2,3.790092468E0,2.500000000E0
6.284705091E1,6.505422747E1,2.546643157E1,8.823207686E0,9.599999785E-1,2.621000061E2,3.790092468E0,2.500000000E0
6.384880393E1,6.505422914E1,2.546641321E1,9.217309101E0,9.200000167E-1,2.732000122E2,3.790092468E0,2.500000000E0
6.484662336E1,6.505422987E1,2.546639428E1,9.439840991E0,8.999999762E-1,2.675000000E2,3.790092468E0,2.500000000E0
6.584728945E1,6.505423021E1,2.546637635E1,9.639118742E0,8.199999928E-1,2.671000061E2,3.790092468E0,2.566481352E0
6.684925471E1,6.505423053E1,2.546635777E1,9.562334420E0,7.400000095E-1,2.651000061E2,3.790092468E0,2.532503605E0
6.785051555E1,6.505423107E1,2.546634131E1,9.663284613E0,7.200000286E-1,2.597999878E2,3.790092468E0,2.635070324E0
6.884452961E1,6.505423160E1,2.546632812E1,9.365187306E0,5.699999928E-1,2.587000122E2,3.790092468E0,2.871490479E0
6.984965029E1,6.505423276E1,2.546631258E1,9.428356599E0,6.700000167E-1,2.652999878E2,3.790092468E0,2.676104307E0
7.084955237E1,6.505423436E1,2.546629873E1,8.729257836E0,6.700000167E-1,2.645000000E2,3.790092468E0,2.500000000E0
7.185033180E1,6.505423683E1,2.546628418E1,8.676643041E0,5.799999833E-1,2.890000000E2,3.790092468E0,2.553676844E0
7.284468409E1,6.505424161E1,2.546627026E1,8.310672936E0,7.099999785E-1,3.246000061E2,3.790092468E0,2.664047718E0
7.385043565E1,6.505424125E1,2.546625125E1,8.564333164E0,6.999999881E-1,2.701000061E2,3.790092468E0,2.525277376E0
7.484958799E1,6.505424276E1,2.546623031E1,9.070922159E0,7.400000095E-1,3.045000000E2,3.790092468E0,2.564462900E0
7.585010455E1,6.505424305E1,2.546621047E1,8.758603046E0,7.099999785E-1,2.735000000E2,3.790092468E0,2.500000000E0
