"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.118483766E2,6.505283337E1,2.546525722E1,8.875985910E0,1.330000043E0,1.996999969E2,3.790092468E0,2.500000000E0
2.128459237E2,6.505282025E1,2.546524924E1,9.067030144E0,1.429999948E0,1.958000031E2,3.790092468E0,2.500000000E0
2.138439322E2,6.505280730E1,2.546523728E1,9.386491864E0,1.450000048E0,1.993000031E2,3.790092468E0,2.500000000E0
2.148437673E2,6.505279411E1,2.546522725E1,9.833395285E0,1.429999948E0,1.970000000E2,3.790092468E0,2.500000000E0
2.158427057E2,6.505278150E1,2.546521759E1,1.001314764E1,1.389999986E0,1.988999939E2,3.790092468E0,2.500000000E0
2.168484838E2,6.505276939E1,2.546521133E1,9.916410910E0,1.360000014E0,1.930000000E2,3.790092468E0,2.500000000E0
2.178478956E2,6.505275755E1,2.546520171E1,9.863313856E0,1.379999995E0,1.986000061E2,3.790092468E0,2.500000000E0
2.188495796E2,6.505274465E1,2.546519234E1,9.662512158E0,1.440000057E0,1.971999969E2,3.790092468E0,2.500000000E0
2.198478384E2,6.505273180E1,2.546518054E1,9.588846416E0,1.450000048E0,2.005000000E2,3.790092468E0,2.500000000E0
2.208479311E2,6.505271782E1,2.546517054E1,9.307905907E0,1.559999943E0,1.968999939E2,3.790092468E0,2.500000000E0
2.218477206E2,6.505270435E1,2.546515631E1,9.091478918E0,1.580000043E0,2.043000031E2,3.790092468E0,2.500000000E0
2.228458697E2,6.505269258E1,2.546513946E1,8.998891334E0,1.509999990E0,2.125000000E2,3.790092468E0,2.500000000E0
2.238482013E2,6.505268187E1,2.546512237E1,8.527213964E0,1.409999967E0,2.178000031E2,3.790092468E0,2.500000000E0
