"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.353130370E-1,2.276473999E0,6.147527695E-1,2.347375631E0
4.403312140E-1,2.494303703E0,7.265129089E-1,2.205420732E0
4.453493910E-1,2.698736668E0,7.057075500E-1,1.887730837E0
4.503676200E-1,2.745908260E0,7.126779556E-1,1.701150656E0
4.555338700E-1,2.501538277E0,6.425266266E-1,1.801209211E0
4.605520470E-1,2.100973606E0,4.495849609E-1,1.937186480E0
4.655702770E-1,1.698138714E0,2.013616562E-1,1.825132608E0
4.705884540E-1,1.194660544E0,4.307079315E-2,1.465421200E0
4.756066310E-1,3.572981060E-1,1.881027222E-2,9.484872818E-1
4.806248080E-1,-8.790726662E-1,-1.140766144E-1,2.210471630E-1
4.857882450E-1,-1.883577228E0,-2.309827805E-1,-9.920876026E-1
4.908064220E-1,-2.396163225E0,-3.042402267E-1,-2.296652317E0
4.958246520E-1,-2.651120186E0,-3.462705612E-1,-2.945941687E0
5.008428290E-1,-2.817070484E0,-2.461833954E-1,-3.032707930E0
5.058610060E-1,-3.039585114E0,-2.096529007E-1,-2.825506210E0
5.108791830E-1,-3.322970629E0,-2.315092087E-1,-2.635191441E0
5.160514750E-1,-3.476562023E0,-2.924089432E-1,-2.693505526E0
5.210696520E-1,-3.327223301E0,-3.181476593E-1,-2.871067762E0
5.260878810E-1,-2.974128485E0,-2.736625671E-1,-2.986432314E0
5.311060580E-1,-2.629570484E0,-2.807445526E-1,-2.843241215E0
5.361242350E-1,-2.309279442E0,-2.749557495E-1,-2.512681961E0
5.411424120E-1,-1.960277319E0,-3.490381241E-1,-2.159902573E0
5.463114220E-1,-1.698301196E0,-4.145803452E-1,-1.770498872E0
5.513296520E-1,-1.376533389E0,-4.265737534E-1,-1.200131178E0
5.563478290E-1,-8.308558464E-1,-3.762302399E-1,-5.542385578E-1
5.613660060E-1,-1.685262322E-1,-2.666740417E-1,-7.953143120E-2
5.663841830E-1,2.662197948E-1,-1.057262421E-1,2.215261459E-1
5.714024120E-1,5.379574895E-1,6.816387177E-2,4.504401684E-1
5.765460580E-1,7.625570893E-1,2.833967209E-1,6.126520634E-1
5.815642350E-1,9.596989155E-1,5.346946716E-1,5.479819775E-1
