"event","experiment time","system time","system time text"
"START",0.000000000E0,1766683539.134,"2025-12-25 19:25:39.134 UTC+02:00"
"PAUSE",2.244726031E2,1766683763.607,"2025-12-25 19:29:23.607 UTC+02:00"
